,ds,cities,y,yhat,yhat_upper,yhat_lower
0,2000-01-01,Belgrade,278.23242,278.68567302854626,282.2370658903556,274.9148198799079
1,2000-02-01,Belgrade,284.19397,281.44191529338303,284.9929099508813,277.86922612344244
2,2000-03-01,Belgrade,284.78113,284.6517583037025,288.135126658494,280.7249817261117
3,2000-04-01,Belgrade,289.36407,288.90979693302023,292.4088333972805,284.98001020892144
4,2000-05-01,Belgrade,295.69226,296.0756934587118,299.83484025376265,292.3147793558826
5,2000-06-01,Belgrade,300.37695,301.28335250209767,304.8488084646949,297.55725347201695
6,2000-07-01,Belgrade,304.60434,305.8157052059687,309.5332659063276,302.13108911279016
7,2000-08-01,Belgrade,301.86038,302.35254374530575,305.9913880870571,298.90471925591544
8,2000-09-01,Belgrade,295.40085,296.98951710965474,300.62421128101244,293.4246910607262
9,2000-10-01,Belgrade,291.50558,292.3060702519588,295.8362883707003,288.6406634989235
10,2000-11-01,Belgrade,286.68036,284.31051418647564,288.1434549084063,280.580300088164
11,2000-12-01,Belgrade,278.95288,279.6058974280673,283.4356750212941,275.76573178188767
12,2001-01-01,Belgrade,274.94904,278.60283085609996,282.47646376165125,274.93329398186677
13,2001-02-01,Belgrade,281.71634,282.3166326018897,286.02315466569064,278.2948381393473
14,2001-03-01,Belgrade,285.54288,284.8727029214663,288.48338204764514,280.7950847936873
15,2001-04-01,Belgrade,289.33624,289.57843239558093,293.28945963217666,285.76680789904316
16,2001-05-01,Belgrade,295.5447,296.121740760397,299.6497099281369,292.4737778121364
17,2001-06-01,Belgrade,302.15344,301.3467687838401,305.1223119220547,297.81114469096383
18,2001-07-01,Belgrade,305.02682,305.8724961839837,309.5731535665501,301.9060243352529
19,2001-08-01,Belgrade,305.56744,303.1762478611448,306.8791793972539,299.34191734038154
20,2001-09-01,Belgrade,300.06918,297.8639786798179,301.4331531644348,294.04789823232505
21,2001-10-01,Belgrade,295.70764,292.0250081392836,296.0785254267195,288.456844330537
22,2001-11-01,Belgrade,284.1753,284.4826978947169,288.13611487881764,280.6878660287791
23,2001-12-01,Belgrade,281.1018,280.2066603311082,284.11927193387066,276.42580359640414
24,2002-01-01,Belgrade,276.5341,279.0546204229339,282.4573507143425,275.0999002342688
25,2002-02-01,Belgrade,277.77536,282.44828589251614,286.1179251270143,278.76310353272
26,2002-03-01,Belgrade,286.52615,285.0986809126667,288.7166782304875,281.50641175589277
27,2002-04-01,Belgrade,291.36472,290.2437365683422,293.74688849992,286.7691881968499
28,2002-05-01,Belgrade,295.7255,296.1583549090579,299.86187271239714,292.63855238863846
29,2002-06-01,Belgrade,302.21896,301.40987074313637,305.3083543171095,298.0907875216585
